UPI,REPORTS
aryan@paytm,1
ivy@ybl,2
sbihelpdesk@okaxis,4
ivy@fam,3
paytmcash@ybl,3
insurance@ybl,0
insurance@paytm,3
anandi@fam,0
helpline@paytm,3
ivy@okhdfcbank,1
insurance@okicici,3
ivy@okhdfcbank,0
gursheel@fam,2
aryan@okaxis,5
sumit@upi,5
aryan@paytm,1
helpline48@okhdfcbnk,217
grocery@fam,0
fastfood@ybl,2
amit@paytm,0
devansh@okhdfcbank,2
sumit@upi,5
ananya@okhdfcbank,5
helpline@ybl,3
aryan@upi,4
sbihelpdesk@upi,1
paypal@okicici,3
devansh@okhdfcbank,4
grocery@paytm,4
verify@okicicii,187
insurance@paytm,1
gursheel@okicici,3
sumit@ybl,2
helpline@okhdfcbank,3
aryan@upi,3
ivy@okicici,1
kaavya@fam,0
anandi@paytm,1
grocery@paytm,0
insurance@paytm,2
amit@paytm,5
ivy@okicici,4
insurance@okaxis,1
ananya@paytm,5
insurance@okaxis,3
anandi@fam,0
amit@upi,4
refund26@okrefund,457
helpline@okaxis,4
ananya@okicici,4
sumit@ybl,2
paytmcash@okaxis,3
fastfood@upi,5
aryan@fam,5
devansh@okaxis,5
ishaan@ybl,5
saumya@okicici,0
ananya@fam,5
ishaan@okhdfcbank,1
fastfood@ybl,2
sumit@okaxis,2
ananya@okhdfcbank,4
refund14@okhdfcbnk,120
paytmcash@okhdfcbank,0
fastfood@paytm,0
insurance@upi,0
ananya@okicici,2
devansh@okicici,4
aryan@okaxis,1
amit@paytm,1
ivy@upi,3
sumit@upi,3
grocery@fam,1
helpline@okaxis,3
anandi@fam,4
insurance@okaxis,2
anandi@okaxis,5
gursheel@fam,0
paytmcash@okaxis,0
sbihelpdesk@paytm,4
verify65@okicicii,233
ishaan@ybl,2
grocery@okhdfcbank,2
helpdesk@oksbibank,411
fastfood@paytm,3
paytmcash@paytm,0
saumya@okicici,0
helpline@oksbibank,461
ivy@upi,2
ananya@fam,1
fastfood@okaxis,5
kaavya@ybl,2
saumya@upi,4
fastrefund@okaxisback,167
ananya@okicici,0
ivy@paytm,5
paypal@okicici,1
saumya@okhdfcbank,5
helpline@fam,3
gursheel@okicici,4
sbihelpdesk@paytm,1
paytmcash@fam,4
ishaan@upi,2
helpline@fam,1
paypal@okicici,5
refund85@okicicii,254
ishaan@okhdfcbank,2
loanoffer@googlepay,486
ishaan@okaxis,5
grocery@okhdfcbank,1
sbihelpdesk@fam,0
fastfood@paytm,3
ivy@upi,0
ishaan@ybl,1
kaavya@paytm,0
amit@ybl,2
gursheel@fam,0
paypal@okicici,3
gursheel@upi,3
ishaan@okicici,4
sbihelpdesk@ybl,3
amit@okhdfcbank,3
paypal@upi,4
fastfood@okaxis,3
anandi@okaxis,3
aryan@okhdfcbank,3
ananya@paytm,3
fastfood@upi,1
devansh@paytm,5
devansh@ybl,4
devansh@okicici,4
anandi@okaxis,2
sbihelpdesk@ybl,4
paypal@okaxis,2
paytmcash@ybl,1
grocery@fam,1
ananya@okaxis,0
sumit@okaxis,3
saumya@upi,2
ananya@paytm,0
saumya@okicici,3
amit@ybl,3
devansh@okaxis,1
ananya@fam,2
insurance@okhdfcbank,3
sbihelpdesk@okaxis,3
sumit@okhdfcbank,2
kaavya@upi,1
gursheel@okicici,0
saumya@fam,4
sumit@fam,5
fastrefund73@okicicii,444
ishaan@upi,5
saumya@okhdfcbank,5
loanoffer@okicicii,106
insurance@fam,3
ivy@upi,5
devansh@paytm,0
kaavya@okhdfcbank,0
fastfood@okhdfcbank,5
helpline@fam,3
fastfood@paytm,0
devansh@okaxis,5
grocery@okaxis,0
devansh@okicici,4
ananya@okhdfcbank,3
anandi@ybl,5
sumit@okicici,2
devansh@okhdfcbank,4
helpline@paytm,2
sbihelpdesk@okicici,3
devansh@okhdfcbank,2
loanoffer@googlepay,205
kaavya@okaxis,5
grocery@paytm,5
sbihelpdesk@upi,2
paytmcash@okicici,4
kaavya@paytm,1
helpline@okhdfcbank,4
anandi@okhdfcbank,1
kaavya@okicici,4
kaavya@okhdfcbank,5
insurance@ybl,0
sbihelpdesk@okaxis,1
helpline@okhdfcbank,4
insurance@okicici,0
fastfood@okicici,2
paypal@fam,0
insurance@upi,5
insurance@okicici,5
grocery@paytm,2
loanoffer84@okicicii,127
aryan@paytm,1
ishaan@paytm,3
helpline@okhdfcbank,1
ivy@okhdfcbank,0
saumya@paytm,3
ananya@okaxis,0
kaavya@paytm,2
saumya@ybl,3
kaavya@upi,2
aryan@okaxis,5
paypal@okaxis,5
helpline@ybl,1
insurance@okhdfcbank,1
helpline@fam,1
fastfood@paytm,1
sbihelpdesk@fam,4
anandi@paytm,4
reward@paypal,104
paytmcash@okaxis,2
anandi@paytm,2
sbihelpdesk@ybl,4
anandi@paytm,0
aryan@okhdfcbank,0
saumya@okaxis,5
paypal@okaxis,5
ishaan@paytm,2
grocery@okhdfcbank,1
devansh@okaxis,0
grocery@ybl,2
ishaan@okicici,2
paytmcash@ybl,2
devansh@paytm,0
aryan@ybl,2
ananya@okhdfcbank,1
ishaan@okaxis,2
saumya@okicici,4
ananya@fam,5
ishaan@upi,4
gursheel@okicici,3
fastfood@upi,2
amit@okhdfcbank,0
helpline@ybl,3
helpline@upi,5
sumit@upi,1
aryan@ybl,2
grocery@okicici,2
grocery@upi,2
sbihelpdesk@okhdfcbank,5
ivy@ybl,4
gursheel@okaxis,1
ananya@okaxis,4
kaavya@ybl,3
saumya@okicici,5
fastfood@okaxis,2
grocery@paytm,3
helpline@okhdfcbank,1
helpline@upi,3
insurance@okicici,4
refund@paypal,213
gursheel@okicici,0
aryan@okhdfcbank,2
ishaan@okicici,0
grocery@fam,1
fastfood@paytm,4
sumit@ybl,1
grocery@okaxis,0
amit@okaxis,2
paytmcash@okicici,4
anandi@paytm,3
saumya@paytm,1
devansh@okicici,5
sbihelpdesk@paytm,3
amit@upi,2
gursheel@ybl,3
paypal@okhdfcbank,1
saumya@ybl,3
ishaan@ybl,0
fastfood@okaxis,2
amit@okhdfcbank,1
devansh@upi,0
kaavya@paytm,3
sbihelpdesk@upi,2
paytmcash@okhdfcbank,1
ananya@okicici,3
anandi@fam,4
paypal@okicici,3
helpline@okhdfcbank,1
anandi@fam,4
devansh@okaxis,0
saumya@paytm,5
saumya@okaxis,2
paytmcash@okhdfcbank,4
sbihelpdesk@okhdfcbank,5
aryan@paytm,4
ishaan@paytm,1
aryan@fam,5
grocery@paytm,3
grocery@okhdfcbank,4
fastrefund@paypal,464
kaavya@fam,4
devansh@paytm,4
sumit@fam,2
kaavya@okhdfcbank,2
insurance@ybl,5
saumya@ybl,1
amit@upi,0
helpdesk40@okaxisback,365
grocery@okicici,4
fastfood@okicici,0
paypal@okicici,3
helpline@ybl,0
paytmcash@upi,2
ishaan@paytm,4
ivy@okicici,3
fastrefund78@okicicii,132
ivy@okaxis,0
kaavya@okhdfcbank,3
paypal@fam,2
helpline@upi,0
paytmcash@okhdfcbank,2
amit@upi,3
ivy@upi,0
fastfood@ybl,4
ananya@okicici,2
devansh@okaxis,1
ivy@ybl,3
ananya@okaxis,0
gursheel@okicici,3
helpline97@okicicii,333
paytmcash@fam,2
devansh@fam,4
ananya@okhdfcbank,4
anandi@okhdfcbank,1
anandi@ybl,5
fastfood@okicici,3
sbihelpdesk@paytm,2
fastfood@okicici,2
insurance@okaxis,4
amit@okaxis,5
verify36@okhdfcbnk,157
insurance@upi,4
kaavya@upi,3
paypal@fam,0
devansh@fam,3
gursheel@okicici,2
paytmcash@ybl,3
fastfood@fam,0
ivy@okaxis,3
ananya@ybl,1
fastfood@fam,3
ananya@fam,2
paypal@paytm,0
gursheel@paytm,0
ananya@ybl,3
paytmcash@upi,2
sumit@okaxis,1
grocery@ybl,3
paypal@paytm,1
loanoffer21@paypal,183
paytmcash@fam,3
cashback20@okaxisback,406
fastfood@paytm,4
anandi@upi,4
ananya@ybl,4
devansh@okhdfcbank,3
sbihelpdesk@paytm,3
gursheel@okicici,3
ishaan@ybl,1
sbihelpdesk@okhdfcbank,5
saumya@upi,0
paytmcash@okaxis,4
amit@ybl,3
gursheel@okaxis,2
helpdesk55@okaxisback,163
fastrefund@okhdfcbnk,418
kaavya@okicici,5
cashback92@okicicii,432
devansh@paytm,5
ivy@paytm,0
paytmcash@okhdfcbank,4
helpline@okhdfcbank,0
insurance@okicici,5
grocery@fam,5
reward97@okrefund,342
insurance@paytm,0
aryan@upi,1
sumit@upi,3
amit@fam,3
refund@okaxisback,309
gursheel@okhdfcbank,5
amit@paytm,2
paytmcash@upi,1
amit@okicici,5
paypal@paytm,5
ivy@fam,4
refund@customercareupi,485
paytmcash@upi,3
sumit@okaxis,5
helpline@fam,3
ananya@ybl,3
sumit@okicici,0
sbihelpdesk@upi,4
gursheel@upi,4
ananya@paytm,4
saumya@fam,3
refund@customercareupi,441
ananya@okaxis,0
loanoffer78@oksbibank,347
helpline@ybl,1
devansh@upi,0
fastfood@ybl,3
verify@oksbibank,101
sbihelpdesk@ybl,0
ivy@paytm,5
ivy@okhdfcbank,2
refund@customercareupi,409
sumit@paytm,4
ishaan@fam,2
ivy@ybl,4
aryan@okhdfcbank,0
gursheel@okaxis,0
insurance@okhdfcbank,1
ivy@okhdfcbank,1
kaavya@okhdfcbank,4
helpline@okaxis,4
anandi@okhdfcbank,5
paytmcash@fam,1
kaavya@fam,3
kaavya@fam,4
helpline@paytm,3
insurance@okhdfcbank,1
paypal@okaxis,2
anandi@paytm,3
anandi@upi,0
ivy@okaxis,3
paytmcash@fam,5
devansh@ybl,1
saumya@okicici,0
aryan@okhdfcbank,0
fastfood@ybl,3
helpline@upi,2
sbihelpdesk@fam,1
ananya@fam,0
insurance@fam,1
sumit@okaxis,0
saumya@fam,1
helpline@upi,0
helpline@okicici,0
kaavya@okaxis,5
ivy@paytm,1
ivy@upi,4
anandi@okhdfcbank,1
ishaan@okicici,3
gursheel@upi,0
anandi@ybl,0
fastfood@okicici,0
gursheel@okicici,2
ivy@fam,0
aryan@paytm,1
ishaan@upi,0
kaavya@okicici,3
aryan@okhdfcbank,5
amit@okicici,0
sbihelpdesk@ybl,4
sbihelpdesk@okaxis,5
insurance@fam,0
anandi@okaxis,3
verify41@oksbibank,398
cashback58@okicicii,267
gursheel@okhdfcbank,2
ishaan@paytm,0
paypal@okicici,2
ananya@okaxis,0
helpline@okhdfcbnk,380
paytmcash@okaxis,5
cashback@okrefund,101
sumit@ybl,1
grocery@okaxis,5
paypal@okaxis,5
fastrefund62@oksbibank,218
sumit@upi,2
insurance@upi,1
sbihelpdesk@okaxis,3
paytmcash@fam,4
paypal@upi,3
grocery@fam,4
ishaan@okaxis,5
fastfood@ybl,1
grocery@okaxis,1
amit@okaxis,4
anandi@fam,3
sumit@okaxis,1
sbihelpdesk@fam,1
paytmcash@upi,3
amit@fam,4
ananya@okhdfcbank,0
aryan@okicici,2
ananya@fam,2
grocery@fam,2
helpline@paytm,2
fastfood@okaxis,0
insurance@paytm,5
fastrefund@okicicii,161
paytmcash@okaxis,4
ivy@paytm,0
saumya@fam,0
devansh@upi,3
grocery@okhdfcbank,3
helpdesk@oksbibank,303
kaavya@paytm,0
grocery@ybl,5
ivy@ybl,4
aryan@upi,1
amit@okicici,1
ivy@okhdfcbank,4
sbihelpdesk@ybl,1
grocery@okhdfcbank,2
amit@upi,5
devansh@fam,0
grocery@fam,3
paypal@upi,1
sumit@fam,4
anandi@okaxis,0
fastrefund73@okicicii,442
helpline@upi,2
fastfood@ybl,4
sbihelpdesk@upi,1
insurance@fam,3
ishaan@fam,1
aryan@fam,3
ishaan@okicici,3
saumya@okaxis,1
aryan@fam,2
gursheel@okaxis,4
saumya@upi,1
saumya@ybl,4
devansh@okaxis,1
ananya@fam,1
paypal@okhdfcbank,4
ishaan@paytm,4
ishaan@fam,3
anandi@okicici,3
paytmcash@ybl,1
helpdesk63@okaxisback,449
helpline@ybl,0
reward@paypal,340
anandi@okaxis,3
saumya@upi,0
aryan@okicici,5
devansh@okaxis,0
aryan@okicici,3
helpline@paytm,1
insurance@okhdfcbank,5
paytmcash@ybl,3
ishaan@paytm,4
sbihelpdesk@paytm,3
gursheel@okhdfcbank,0
helpline@upi,4
insurance@paytm,5
fastfood@fam,0
loanoffer24@okhdfcbnk,421
aryan@paytm,4
ananya@fam,0
grocery@okhdfcbank,4
devansh@ybl,2
grocery@upi,2
ivy@okhdfcbank,1
aryan@okhdfcbank,2
paypal@fam,3
devansh@okicici,5
ananya@okhdfcbank,0
helpline@okhdfcbank,1
paytmcash@okaxis,2
paypal@okicici,5
ananya@upi,4
verify18@googlepay,125
ivy@ybl,1
sbihelpdesk@okaxis,5
ananya@okhdfcbank,5
paypal@upi,1
paypal@fam,4
ishaan@paytm,2
grocery@upi,0
sumit@upi,0
ivy@okicici,1
fastfood@okaxis,1
sbihelpdesk@upi,3
paytmcash@okaxis,3
helpline32@oksbibank,409
insurance@paytm,0
paypal@paytm,4
ananya@ybl,4
helpline@okicici,3
sbihelpdesk@okhdfcbank,2
paypal@ybl,0
anandi@upi,3
insurance@ybl,0
sumit@ybl,1
paytmcash@okicici,3
paypal@okicici,1
grocery@fam,3
kaavya@upi,3
ivy@okicici,0
ishaan@okaxis,4
saumya@okicici,1
fastrefund@customercareupi,296
anandi@paytm,2
paytmcash@upi,4
fastfood@okhdfcbank,5
aryan@paytm,0
paytmcash@paytm,5
kaavya@okicici,0
reward93@googlepay,373
amit@okhdfcbank,3
amit@fam,3
insurance@okicici,0
refund68@customercareupi,243
devansh@okaxis,2
devansh@fam,4
devansh@okicici,0
anandi@okhdfcbank,0
ishaan@fam,4
saumya@upi,4
devansh@paytm,4
verify@okicicii,228
paytmcash@fam,5
insurance@upi,1
ishaan@okicici,5
devansh@paytm,0
helpdesk24@customercareupi,482
paytmcash@okicici,5
insurance@okicici,2
loanoffer18@okhdfcbnk,275
insurance@upi,4
gursheel@okaxis,3
saumya@okhdfcbank,3
insurance@okhdfcbank,2
paypal@okhdfcbank,2
gursheel@paytm,5
helpdesk78@googlepay,111
ivy@fam,5
sumit@upi,0
kaavya@paytm,4
amit@ybl,1
gursheel@ybl,2
loanoffer@googlepay,138
helpline@upi,4
insurance@paytm,3
kaavya@fam,4
sbihelpdesk@ybl,2
paypal@upi,1
ishaan@fam,4
kaavya@okaxis,5
cashback56@okicicii,255
insurance@paytm,4
ananya@ybl,1
amit@okicici,0
insurance@okaxis,4
gursheel@okaxis,3
gursheel@ybl,3
devansh@upi,0
insurance@fam,4
amit@okhdfcbank,1
paypal@okicici,2
amit@okhdfcbank,2
helpdesk@okicicii,250
insurance@upi,3
ishaan@okicici,4
anandi@okhdfcbank,1
insurance@fam,2
insurance@upi,3
devansh@okaxis,1
sumit@fam,4
amit@paytm,4
insurance@paytm,4
kaavya@okaxis,0
anandi@fam,5
helpline@upi,2
ishaan@upi,1
paytmcash@fam,1
saumya@okhdfcbank,2
grocery@okhdfcbank,0
ananya@okhdfcbank,3
devansh@paytm,1
ishaan@paytm,5
sbihelpdesk@okicici,3
sbihelpdesk@upi,1
amit@okaxis,4
gursheel@paytm,5
saumya@fam,4
refund@okhdfcbnk,147
devansh@fam,4
saumya@paytm,2
helpline@paytm,1
saumya@upi,4
gursheel@okhdfcbank,0
saumya@okicici,2
helpline@okicici,1
saumya@fam,1
fastfood@okaxis,0
fastfood@paytm,1
fastfood@okicici,1
anandi@okhdfcbank,2
gursheel@fam,0
anandi@paytm,3
paytmcash@okaxis,1
insurance@paytm,1
sbihelpdesk@okicici,4
ivy@okicici,1
anandi@fam,0
aryan@okicici,0
sbihelpdesk@okicici,2
devansh@fam,0
sumit@upi,2
saumya@fam,0
paypal@paytm,4
loanoffer34@okaxisback,450
gursheel@okhdfcbank,0
insurance@okaxis,4
reward@okicicii,320
helpline@fam,4
ishaan@okaxis,0
devansh@okaxis,3
insurance@paytm,0
ishaan@okaxis,4
saumya@fam,4
aryan@okicici,0
paytmcash@fam,3
saumya@ybl,3
ishaan@ybl,4
kaavya@fam,5
helpline@paytm,4
amit@okicici,2
kaavya@paytm,5
verify18@okaxisback,393
devansh@okhdfcbank,2
helpline@googlepay,288
anandi@paytm,3
aryan@paytm,0
fastrefund14@googlepay,215
anandi@fam,0
refund@paypal,118
reward@oksbibank,443
loanoffer@customercareupi,309
saumya@upi,3
insurance@ybl,0
sbihelpdesk@ybl,5
ananya@ybl,0
saumya@paytm,1
fastfood@paytm,5
ananya@upi,5
ananya@okhdfcbank,0
insurance@ybl,3
grocery@paytm,1
ivy@upi,1
grocery@okicici,1
sbihelpdesk@ybl,3
anandi@paytm,1
paytmcash@paytm,0
devansh@okicici,0
aryan@okicici,1
anandi@okaxis,3
ivy@fam,1
insurance@ybl,1
helpline@okhdfcbank,0
paypal@fam,1
helpline@fam,0
helpline@okhdfcbank,1
saumya@okaxis,5
aryan@okhdfcbank,5
gursheel@fam,1
devansh@upi,0
ivy@upi,4
ananya@paytm,0
sumit@ybl,1
insurance@okaxis,4
sumit@okhdfcbank,1
ishaan@ybl,2
fastfood@paytm,0
ananya@okicici,2
paytmcash@upi,4
grocery@paytm,3
sumit@ybl,0
aryan@okhdfcbank,4
grocery@paytm,1
grocery@okicici,5
sbihelpdesk@okaxis,5
sbihelpdesk@ybl,2
aryan@okicici,4
paytmcash@paytm,1
helpline@okicici,5
ananya@okicici,0
gursheel@okaxis,5
paytmcash@okicici,1
sbihelpdesk@ybl,1
anandi@ybl,2
paytmcash@fam,2
grocery@okhdfcbank,1
ishaan@okicici,1
ishaan@ybl,3
gursheel@upi,3
saumya@okhdfcbank,4
insurance@okicici,5
anandi@ybl,3
sumit@paytm,1
helpdesk@okrefund,213
sbihelpdesk@okhdfcbank,0
grocery@fam,3
helpline@upi,1
aryan@okaxis,4
loanoffer22@googlepay,414
amit@paytm,1
gursheel@upi,0
helpline@okaxis,3
anandi@fam,4
amit@okaxis,3
paytmcash@okicici,2
ananya@ybl,1
paytmcash@okhdfcbank,5
amit@paytm,2
paytmcash@okicici,3
anandi@ybl,0
grocery@okhdfcbank,3
saumya@upi,0
refund@okhdfcbnk,169
saumya@paytm,1
helpline@ybl,2
kaavya@okhdfcbank,4
fastrefund@okicicii,270
saumya@okhdfcbank,4
ananya@fam,4
cashback90@googlepay,110
insurance@paytm,1
aryan@upi,2
helpline@upi,3
anandi@okhdfcbank,0
insurance@okaxis,5
grocery@upi,2
kaavya@upi,2
anandi@okaxis,4
anandi@okaxis,3
amit@okicici,1
aryan@ybl,0
amit@ybl,1
cashback96@okhdfcbnk,408
kaavya@okicici,2
saumya@fam,0
aryan@okhdfcbank,1
amit@upi,0
anandi@okaxis,1
paypal@upi,3
devansh@okhdfcbank,4
verify63@customercareupi,187
ananya@paytm,0
anandi@okicici,3
kaavya@ybl,2
devansh@paytm,5
ishaan@paytm,2
devansh@okhdfcbank,2
anandi@fam,0
loanoffer@okaxisback,389
grocery@okaxis,0
fastfood@okicici,2
ananya@upi,4
paytmcash@okaxis,0
aryan@fam,0
anandi@okhdfcbank,1
paytmcash@ybl,0
paypal@okaxis,5
devansh@okhdfcbank,4
paypal@okhdfcbank,1
loanoffer@okrefund,182
grocery@okicici,4
helpdesk@oksbibank,177
refund@okhdfcbnk,356
gursheel@fam,4
grocery@okicici,3
helpdesk65@paypal,299
grocery@ybl,3
gursheel@okhdfcbank,5
saumya@upi,4
aryan@paytm,2
grocery@ybl,3
ananya@paytm,5
amit@okhdfcbank,2
amit@ybl,0
devansh@fam,4
amit@okicici,0
sbihelpdesk@okhdfcbank,2
aryan@okicici,4
kaavya@okaxis,4
reward@googlepay,394
paytmcash@fam,4
amit@fam,2
loanoffer@googlepay,205
ivy@okaxis,4
gursheel@okaxis,0
reward@googlepay,413
refund@okhdfcbnk,423
anandi@okicici,1
cashback65@paypal,179
ananya@okaxis,0
fastfood@okicici,2
grocery@okicici,3
kaavya@ybl,4
kaavya@fam,1
amit@ybl,0
sumit@fam,0
grocery@okicici,3
ivy@paytm,0
paytmcash@okicici,5
sbihelpdesk@okhdfcbank,2
refund16@googlepay,176
aryan@ybl,0
gursheel@ybl,0
saumya@okicici,4
paytmcash@upi,0
amit@ybl,1
kaavya@okicici,2
paypal@fam,1
helpline@ybl,0
ivy@okhdfcbank,3
sbihelpdesk@ybl,4
devansh@fam,3
grocery@okaxis,4
anandi@okhdfcbank,1
ishaan@okicici,1
helpline@paytm,5
ishaan@ybl,1
ananya@okicici,1
fastfood@fam,2
kaavya@okhdfcbank,2
gursheel@okaxis,3
aryan@okicici,3
ananya@paytm,1
sumit@okicici,1
sbihelpdesk@upi,0
anandi@fam,3
aryan@upi,5
helpline@customercareupi,462
anandi@fam,0
amit@fam,1
saumya@okaxis,0
aryan@okaxis,5
anandi@okicici,0
loanoffer37@customercareupi,170
sbihelpdesk@okicici,5
paytmcash@okhdfcbank,1
anandi@okicici,5
kaavya@fam,2
gursheel@ybl,2
sbihelpdesk@okhdfcbank,1
sumit@paytm,2
aryan@fam,1
anandi@paytm,2
grocery@okaxis,3
paypal@fam,5
sumit@okaxis,4
helpline@okicici,2
sumit@okicici,3
helpline@ybl,1
helpdesk25@okaxisback,408
ananya@okhdfcbank,5
devansh@upi,4
grocery@fam,2
ivy@okhdfcbank,0
sumit@upi,4
paypal@okhdfcbank,1
paytmcash@okicici,4
aryan@upi,2
kaavya@okicici,4
sbihelpdesk@paytm,5
sbihelpdesk@ybl,3
helpline@okaxis,4
gursheel@upi,3
helpline@okrefund,110
helpline@paytm,5
ishaan@fam,4
helpline@paytm,0
aryan@okicici,4
sbihelpdesk@ybl,5
paypal@ybl,0
fastfood@fam,1
paytmcash@paytm,4
amit@okhdfcbank,5
grocery@upi,3
ishaan@okicici,2
saumya@okhdfcbank,5
paypal@okhdfcbank,2
saumya@paytm,0
fastfood@okhdfcbank,2
helpline@okhdfcbank,1
aryan@okaxis,4
paypal@okaxis,2
kaavya@paytm,0
amit@fam,5
paytmcash@fam,5
aryan@ybl,0
helpline@okicici,4
kaavya@fam,2
devansh@paytm,1
kaavya@okhdfcbank,1
kaavya@ybl,2
kaavya@okhdfcbank,1
sumit@okaxis,0
kaavya@okicici,0
ivy@okhdfcbank,2
cashback@okaxisback,441
sbihelpdesk@paytm,4
helpline@upi,3
sumit@okaxis,3
ivy@paytm,4
aryan@okhdfcbank,1
ishaan@fam,4
paypal@ybl,0
paytmcash@okaxis,0
fastfood@paytm,3
paypal@okicici,4
paypal@fam,3
sumit@paytm,3
kaavya@okhdfcbank,2
sumit@upi,3
saumya@okhdfcbank,1
aryan@fam,4
fastfood@upi,5
paytmcash@paytm,5
ananya@okicici,0
gursheel@okaxis,0
insurance@fam,1
insurance@okicici,3
aryan@okhdfcbank,0
insurance@paytm,3
amit@fam,3
ananya@okicici,2
sumit@okhdfcbank,2
anandi@okhdfcbank,5
paytmcash@fam,5
saumya@ybl,2
helpline@okaxis,5
fastfood@okicici,2
paypal@okicici,4
ananya@okhdfcbank,0
ivy@paytm,0
ishaan@okicici,2
ivy@okicici,0
sbihelpdesk@paytm,3
saumya@okicici,1
devansh@upi,1
devansh@upi,5
paypal@upi,1
ivy@fam,1
kaavya@ybl,1
paytmcash@okicici,2
kaavya@fam,5
ananya@fam,1
helpline@fam,3
sbihelpdesk@okaxis,3
anandi@ybl,5
kaavya@okhdfcbank,4
devansh@okhdfcbank,2
ishaan@okicici,2
saumya@okaxis,3
insurance@paytm,0
sumit@okicici,2
refund21@customercareupi,406
amit@okicici,4
helpline@okicici,1
paytmcash@fam,2
devansh@okicici,5
ananya@fam,0
insurance@upi,3
sbihelpdesk@okhdfcbank,2
anandi@paytm,1
devansh@upi,5
loanoffer@okicicii,298
gursheel@fam,2
ivy@upi,0
ivy@okhdfcbank,3
ivy@upi,3
aryan@paytm,5
ananya@ybl,3
ivy@paytm,4
gursheel@ybl,0
grocery@okicici,0
amit@paytm,0
kaavya@paytm,4
helpdesk@paypal,276
paypal@okicici,2
ivy@ybl,2
gursheel@ybl,5
ivy@ybl,0
sumit@paytm,4
ivy@paytm,1
kaavya@upi,2
ananya@ybl,3
ananya@fam,5
kaavya@fam,0
sbihelpdesk@paytm,0
fastrefund@okicicii,463
ishaan@upi,1
anandi@upi,1
anandi@ybl,1
anandi@okhdfcbank,5
paypal@okhdfcbank,5
insurance@ybl,5
kaavya@ybl,2
helpline@fam,5
gursheel@paytm,3
ivy@okhdfcbank,5
gursheel@okaxis,4
helpline@ybl,4
fastrefund47@okaxisback,298
sbihelpdesk@ybl,0
devansh@okicici,5
paytmcash@fam,5
kaavya@paytm,3
insurance@upi,3
devansh@okicici,0
insurance@ybl,4
paytmcash@upi,1
aryan@okhdfcbank,4
ananya@upi,2
insurance@ybl,0
sumit@okaxis,2
amit@paytm,0
paypal@upi,1
insurance@paytm,1
aryan@ybl,2
anandi@fam,0
helpline@okicici,4
paytmcash@ybl,1
ivy@fam,1
gursheel@okicici,3
saumya@ybl,1
ananya@upi,3
sumit@okhdfcbank,5
sbihelpdesk@okicici,0
sbihelpdesk@upi,2
refund@oksbibank,495
helpdesk19@okrefund,101
anandi@upi,1
kaavya@upi,5
gursheel@upi,1
kaavya@okhdfcbank,3
insurance@fam,1
grocery@okicici,1
aryan@fam,4
verify68@paypal,453
helpline@upi,1
kaavya@ybl,1
devansh@okhdfcbank,1
ananya@okaxis,3
paypal@paytm,1
devansh@okaxis,2
gursheel@okaxis,4
anandi@ybl,3
helpline@paytm,0
aryan@okicici,5
fastfood@upi,3
fastfood@okhdfcbank,5
grocery@ybl,4
kaavya@fam,1
aryan@okaxis,1
paypal@ybl,3
fastfood@fam,2
ananya@okaxis,1
devansh@fam,3
anandi@okhdfcbank,0
helpline@upi,1
devansh@ybl,1
kaavya@paytm,2
anandi@okhdfcbank,2
sbihelpdesk@fam,0
paytmcash@okhdfcbank,5
sumit@ybl,1
helpline@ybl,4
paytmcash@okaxis,4
devansh@okaxis,2
reward@okicicii,132
sbihelpdesk@okhdfcbank,2
aryan@ybl,3
ishaan@okaxis,4
saumya@upi,1
fastfood@paytm,4
insurance@fam,2
gursheel@ybl,3
helpline@upi,3
kaavya@upi,1
paytmcash@paytm,4
saumya@okhdfcbank,2
anandi@okhdfcbank,3
verify96@okaxisback,347
helpline@okaxis,5
sumit@okaxis,3
insurance@upi,4
insurance@okicici,4
aryan@ybl,4
ananya@ybl,4
sbihelpdesk@fam,3
aryan@fam,2
paypal@upi,5
ananya@okicici,3
aryan@okaxis,4
insurance@ybl,3
aryan@upi,1
anandi@ybl,3
ivy@fam,2
sbihelpdesk@upi,0
sumit@okhdfcbank,4
ivy@okicici,2
sbihelpdesk@okhdfcbank,1
grocery@fam,0
aryan@okicici,0
fastfood@upi,3
devansh@okhdfcbank,2
aryan@fam,3
amit@okicici,5
aryan@okaxis,4
saumya@ybl,3
sbihelpdesk@okicici,1
saumya@fam,0
devansh@upi,1
aryan@fam,5
sumit@fam,0
aryan@okaxis,4
grocery@paytm,2
fastfood@fam,5
ananya@paytm,0
paypal@okicici,0
sumit@okaxis,0
gursheel@fam,2
insurance@upi,3
sumit@paytm,1
ananya@fam,3
saumya@okicici,5
ishaan@okaxis,0
grocery@ybl,2
kaavya@ybl,3
aryan@paytm,4
ananya@okicici,1
saumya@okicici,5
sumit@fam,1
grocery@okicici,1
kaavya@paytm,2
reward@oksbibank,117
helpdesk@googlepay,325
helpline@paytm,1
saumya@okaxis,3
sbihelpdesk@paytm,1
amit@upi,3
sumit@paytm,5
insurance@okhdfcbank,0
ananya@paytm,4
cashback@paypal,387
kaavya@okhdfcbank,1
ivy@upi,4
grocery@okhdfcbank,1
kaavya@upi,3
kaavya@ybl,2
insurance@fam,0
insurance@paytm,1
fastfood@upi,0
sumit@upi,3
aryan@okicici,5
saumya@okaxis,0
